施設・場所名,住所,緯度,経度
京都市立日吉ケ丘高等学校,京都府京都市東山区今熊野悲田院山町5-22,34.97875046,135.7755043
京都府立陶工高等技術専門校,京都府京都市東山区今熊野阿弥陀ヶ峰町17-2,34.99072691,135.7819913
大谷中学校・大谷高等学校,京都府京都市東山区今熊野池田町12,34.98413122,135.7719502
京都市立白河総合支援学校東山分校,京都府京都市東山区東大路渋谷下ル妙法院前側町441,34.99201268,135.7756398
京都市立東山泉小中学校 東学舎,京都府京都市東山区泉涌寺山内町5,34.97963903,135.7782509
華頂女子高等学校,京都府京都市東山区林下町3-456,35.0068558,135.7807445
京都女子中・高等学校,京都府京都市東山区今熊野北日吉町17,34.99009621,135.7770175
知恩院 和順会館,京都府京都市東山区林下町400-2,35.00456153,135.7803668
妙法院,京都府京都市東山区妙法院前側町447,34.9904045,135.7755621
大谷本廟,京都府京都市東山区五条橋東六丁目514,34.99342088,135.777234
東福寺,京都府京都市東山区本町十五丁目778,34.9767345,135.7742716
立正佼成会 京都教会,京都府京都市東山区三条白川橋東入ル5丁目東町230,35.00988889,135.7859412
京都華頂大学・華頂短期大学(７号館 体育館),京都府京都市東山区林下町3-456,35.00680356,135.779876
京都市立東山泉小中学校 西学舎,京都府京都市東山区大和大路通七条下ル5丁目下池田町527,34.98393285,135.7707961
弥栄自治会館,京都府京都市東山区祇園町南側,35.0032,135.77691
京都市立山階小学校,京都府京都市山科区西野大手先町21,34.98334041,135.8131355
京都市立鏡山小学校,京都府京都市山科区御陵血洗町18,34.99079852,135.8063132
京都市立音羽小学校,京都府京都市山科区音羽森廻り町32,34.98593835,135.8253539
京都市立勧修小学校,京都府京都市山科区勧修寺東栗栖野町42,34.97021697,135.8083147
京都市立安朱小学校,京都府京都市山科区安朱山川町17,34.99615224,135.8182357
京都市立山階南小学校,京都府京都市山科区東野八代10,34.97738655,135.8078332
京都市立陵ケ岡小学校,京都府京都市山科区御陵岡町45,34.99262652,135.8030005
京都市立大宅小学校,京都府京都市山科区大宅五反畑町69-2,34.97417966,135.8238936
京都市立百々小学校,京都府京都市山科区西野山百々町173-1,34.97689968,135.7961774
京都市立大塚小学校,京都府京都市山科区大塚野溝町59,34.98302524,135.8299903
京都市立音羽川小学校,京都府京都市山科区音羽西林36,34.98282343,135.8209175
京都市立小野小学校,京都府京都市山科区小野蚊ヶ瀬町2,34.96333347,135.8117661
